card_brand,card_type,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,account_age,pin_age,card_brand_encoded
1.0,1.0,0,1,4700.0,2008-12-01,2014,0,18,12,0
2.0,1.0,1,2,5800.0,2007-08-01,2025,0,19,1,2
1.0,0.0,1,2,12082.0,2016-08-01,2016,0,10,10,1
1.0,1.0,0,2,6000.0,2002-06-01,2010,0,24,16,1
2.0,0.0,1,1,620.0,2002-02-01,2014,0,24,12,2
1.0,0.0,1,2,12332.0,2007-08-01,2024,0,19,2,1
1.0,0.0,1,1,18424.0,2013-08-01,2013,0,13,13,1
2.0,1.0,0,1,15400.0,2003-08-01,2022,0,23,4,2
2.0,0.0,1,2,14548.0,2007-08-01,2013,0,19,13,2
1.0,1.0,1,2,10100.0,2016-09-01,2016,0,10,10,1
1.0,1.0,1,1,11200.0,2026-02-01,2022,0,0,4,0
1.0,0.0,1,2,20291.0,2009-12-01,2025,0,17,1,1
2.0,0.0,0,2,4612.0,2020-02-01,2020,0,6,6,2
1.0,0.0,1,1,8367.0,2009-03-01,2024,0,17,2,1
2.0,1.0,1,2,6100.0,2026-02-01,2024,0,0,2,2
1.0,0.0,1,3,9944.0,2020-02-01,2020,0,6,6,1
2.0,1.0,1,1,5600.0,2020-02-01,2020,0,6,6,2
2.0,0.0,1,2,4488.0,2002-07-01,2015,0,24,11,2
2.0,1.0,1,2,12500.0,2014-11-01,2014,0,12,12,2
1.0,0.0,1,2,23432.0,2001-09-01,2022,0,25,4,1
1.0,1.0,1,2,12100.0,2020-02-01,2020,0,6,6,1
1.0,0.0,1,1,11973.0,2012-03-01,2026,0,14,0,1
1.0,0.0,1,2,13601.0,2006-10-01,2014,0,20,12,1
1.0,1.0,1,2,7800.0,2020-02-01,2020,0,6,6,1
2.0,0.0,1,2,17816.0,2008-08-01,2016,0,18,10,2
1.0,0.0,0,2,17707.0,2010-10-01,2010,0,16,16,1
1.0,0.0,1,1,19110.0,2010-05-01,2025,0,16,1,1
1.0,0.0,1,1,13428.0,2016-10-01,2016,0,10,10,1
1.0,0.0,1,1,17872.0,2008-06-01,2022,0,18,4,1
1.0,1.0,1,1,12900.0,2003-12-01,2010,0,23,16,1
1.0,0.0,1,2,20634.0,2005-03-01,2007,0,21,19,1
2.0,1.0,1,2,12200.0,2006-12-01,2010,0,20,16,2
2.0,1.0,0,2,6600.0,2020-02-01,2020,0,6,6,2
1.0,0.0,1,1,25815.0,2017-12-01,2017,0,9,9,1
1.0,0.0,1,1,21628.0,2001-03-01,2022,0,25,4,1
1.0,0.0,1,1,24232.0,2009-07-01,2024,0,17,2,1
1.0,0.0,1,2,10775.0,2009-02-01,2010,0,17,16,1
1.0,1.0,1,2,105.0,2007-06-01,2013,0,19,13,1
2.0,1.0,0,2,7100.0,2010-11-01,2010,0,16,16,2
1.0,0.0,1,1,29351.0,2005-11-01,2007,0,21,19,1
1.0,0.0,1,2,15125.0,2008-04-01,2026,0,18,0,1
1.0,1.0,1,2,8000.0,2003-11-01,2022,0,23,4,1
1.0,1.0,1,1,83.0,2010-11-01,2010,0,16,16,1
2.0,1.0,1,2,700.0,2016-12-01,2016,0,10,10,2
1.0,0.0,1,2,7488.0,2006-07-01,2016,0,20,10,1
1.0,0.0,1,2,30971.0,2005-03-01,2020,0,21,6,1
2.0,0.0,1,1,53036.0,2013-10-01,2013,0,13,13,2
1.0,0.0,1,1,35750.0,2011-08-01,2025,0,15,1,1
2.0,0.0,1,1,33375.0,2013-03-01,2013,0,13,13,2
2.0,1.0,1,2,22.0,2010-12-01,2010,0,16,16,2
1.0,1.0,1,1,13100.0,2014-08-01,2014,0,12,12,0
2.0,0.0,1,1,16516.0,2003-07-01,2025,0,23,1,2
1.0,1.0,1,1,15700.0,2026-05-01,2025,0,0,1,1
1.0,0.0,1,1,21058.0,2003-08-01,2007,0,23,19,1
2.0,1.0,1,2,91.0,2016-12-01,2016,0,10,10,2
1.0,1.0,1,1,13400.0,2005-04-01,2014,0,21,12,1
2.0,0.0,0,1,25942.0,2012-11-01,2026,0,14,0,2
1.0,1.0,1,2,10700.0,2003-02-01,2013,0,23,13,1
1.0,1.0,1,2,4900.0,2020-02-01,2020,0,6,6,1
1.0,1.0,0,1,18100.0,2020-02-01,2020,0,6,6,1
1.0,0.0,1,2,22660.0,2026-07-01,2007,0,0,19,1
1.0,1.0,1,1,19800.0,2011-05-01,2025,0,15,1,0
1.0,0.0,1,2,4317.0,2001-07-01,2025,0,25,1,1
1.0,0.0,0,1,14719.0,2000-03-01,2022,0,26,4,1
1.0,0.0,1,1,9532.0,2017-09-01,2017,0,9,9,1
1.0,1.0,1,1,10900.0,2006-07-01,2014,0,20,12,1
1.0,1.0,1,2,6200.0,2001-11-01,2026,0,25,0,1
1.0,0.0,1,2,4355.0,2025-12-01,2010,0,1,16,1
1.0,0.0,1,1,28963.0,2007-11-01,2026,0,19,0,1
1.0,0.0,1,2,20913.0,2016-05-01,2016,0,10,10,1
1.0,0.0,1,1,23344.0,2010-02-01,2010,0,16,16,1
1.0,0.0,1,2,33642.0,2016-10-01,2016,0,10,10,1
1.0,0.0,1,1,14695.0,2010-09-01,2025,0,16,1,1
2.0,0.0,1,1,29950.0,2008-09-01,2013,0,18,13,2
2.0,1.0,1,2,4600.0,2007-12-01,2025,0,19,1,2
1.0,0.0,1,2,9796.0,2003-02-01,2013,0,23,13,1
1.0,0.0,1,1,17826.0,2009-10-01,2024,0,17,2,1
1.0,0.0,1,1,19086.0,2006-12-01,2024,0,20,2,1
2.0,0.0,1,2,17345.0,2014-10-01,2014,0,12,12,2
2.0,0.0,1,2,17976.0,2013-02-01,2013,0,13,13,2
2.0,0.0,1,2,29573.0,2008-10-01,2024,0,18,2,2
1.0,0.0,1,1,16375.0,2020-02-01,2020,0,6,6,1
1.0,0.0,1,2,53466.0,2007-07-01,2013,0,19,13,1
1.0,1.0,0,2,7200.0,2015-12-01,2015,0,11,11,1
1.0,0.0,1,1,12915.0,2011-10-01,2013,0,15,13,1
2.0,1.0,1,2,84.0,2009-04-01,2017,0,17,9,2
1.0,1.0,1,2,17600.0,2018-04-01,2018,0,8,8,0
1.0,0.0,1,1,31542.0,2006-11-01,2024,0,20,2,1
1.0,0.0,1,2,23049.0,2013-06-01,2013,0,13,13,1
2.0,0.0,1,1,29734.0,2017-12-01,2017,0,9,9,2
2.0,1.0,1,2,27000.0,2011-09-01,2016,0,15,10,2
1.0,1.0,1,1,18.0,2008-03-01,2010,0,18,16,1
1.0,0.0,1,1,17848.0,2015-12-01,2015,0,11,11,1
1.0,0.0,0,1,25563.0,2010-05-01,2010,0,16,16,1
2.0,1.0,1,2,12000.0,2010-10-01,2010,0,16,16,2
2.0,0.0,1,3,11873.0,2020-02-01,2020,0,6,6,2
1.0,1.0,1,1,7200.0,2020-02-01,2020,0,6,6,1
1.0,1.0,1,2,500.0,2010-11-01,2010,0,16,16,1
1.0,0.0,1,1,22697.0,2020-02-01,2020,0,6,6,1
1.0,1.0,1,1,18000.0,2013-03-01,2013,0,13,13,1
1.0,0.0,1,1,32903.0,2010-06-01,2010,0,16,16,1
2.0,0.0,1,2,12764.0,2025-05-01,2010,0,1,16,2
1.0,0.0,1,2,7541.0,2008-09-01,2013,0,18,13,1
2.0,0.0,1,2,1266.0,2007-06-01,2026,0,19,0,2
1.0,1.0,0,1,9500.0,2014-09-01,2014,0,12,12,1
1.0,0.0,1,2,1837.0,2010-06-01,2010,0,16,16,1
1.0,0.0,1,2,17453.0,2006-02-01,2022,0,20,4,1
2.0,0.0,0,1,28283.0,2008-05-01,2026,0,18,0,2
2.0,1.0,1,1,13500.0,2010-05-01,2026,0,16,0,2
2.0,1.0,1,2,13300.0,2012-06-01,2026,0,14,0,2
2.0,1.0,1,1,14400.0,2010-06-01,2026,0,16,0,2
2.0,1.0,1,1,4400.0,2012-07-01,2026,0,14,0,2
1.0,1.0,1,1,13000.0,2020-02-01,2020,0,6,6,1
1.0,1.0,0,1,16100.0,2020-02-01,2020,0,6,6,1
1.0,0.0,1,2,7629.0,2020-02-01,2020,0,6,6,1
1.0,0.0,0,1,16538.0,2012-04-01,2026,0,14,0,1
1.0,0.0,1,1,9737.0,2016-02-01,2016,0,10,10,1
1.0,1.0,1,1,6500.0,2011-02-01,2014,0,15,12,1
1.0,0.0,1,2,2650.0,2011-02-01,2013,0,15,13,1
1.0,0.0,1,2,6940.0,2006-03-01,2024,0,20,2,1
1.0,0.0,1,2,23408.0,1996-04-01,2022,0,30,4,1
2.0,1.0,1,2,9700.0,2026-11-01,2007,0,0,19,2
1.0,0.0,0,2,10538.0,2006-07-01,2006,0,20,20,1
1.0,0.0,1,2,6853.0,2001-08-01,2006,0,25,20,1
1.0,0.0,1,2,607.0,2002-12-01,2010,0,24,16,1
1.0,1.0,1,1,0.0,2010-08-01,2010,0,16,16,1
2.0,0.0,1,2,8253.0,2026-10-01,2025,0,0,1,2
1.0,1.0,0,2,2600.0,2011-07-01,2025,0,15,1,1
1.0,1.0,0,1,7300.0,2002-11-01,2010,0,24,16,1
2.0,1.0,1,1,15000.0,2009-10-01,2024,0,17,2,2
1.0,1.0,1,2,18700.0,2020-02-01,2020,0,6,6,1
2.0,1.0,0,1,15700.0,2010-11-01,2014,0,16,12,2
1.0,0.0,0,2,18101.0,2020-02-01,2020,0,6,6,1
2.0,1.0,1,1,8400.0,2020-02-01,2020,0,6,6,2
1.0,1.0,1,2,20900.0,2020-02-01,2020,0,6,6,1
2.0,1.0,1,1,23700.0,2020-02-01,2020,0,6,6,2
2.0,0.0,1,1,26083.0,2009-12-01,2024,0,17,2,2
2.0,0.0,1,1,31589.0,2008-05-01,2022,0,18,4,2
2.0,1.0,1,2,24200.0,2000-10-01,2013,0,26,13,2
1.0,0.0,1,2,18321.0,2020-02-01,2020,0,6,6,1
1.0,0.0,1,1,15377.0,2026-08-01,2025,0,0,1,1
2.0,0.0,1,1,12990.0,2007-10-01,2016,0,19,10,2
2.0,0.0,1,1,8509.0,2010-06-01,2010,0,16,16,2
2.0,0.0,1,1,96907.0,2014-11-01,2014,0,12,12,2
2.0,1.0,1,2,76.0,2005-11-01,2007,0,21,19,2
2.0,0.0,1,2,31767.0,2020-02-01,2020,0,6,6,2
1.0,1.0,1,2,16000.0,2011-02-01,2026,0,15,0,1
2.0,1.0,1,1,300.0,2012-04-01,2026,0,14,0,2
1.0,0.0,1,2,2236.0,2000-05-01,2015,0,26,11,1
2.0,0.0,1,2,21591.0,2010-09-01,2010,0,16,16,2
1.0,0.0,1,2,11521.0,2020-02-01,2020,0,6,6,1
2.0,1.0,1,2,11300.0,2008-02-01,2024,0,18,2,2
1.0,1.0,1,1,8400.0,2009-04-01,2025,0,17,1,1
2.0,0.0,1,1,18702.0,2007-12-01,2007,0,19,19,2
2.0,0.0,1,1,24806.0,2007-06-01,2007,0,19,19,2
2.0,0.0,1,1,19856.0,2007-11-01,2025,0,19,1,2
2.0,1.0,1,2,68.0,2010-02-01,2010,0,16,16,2
1.0,0.0,1,1,13390.0,2020-02-01,2020,0,6,6,1
1.0,1.0,1,2,4200.0,2016-06-01,2016,0,10,10,0
2.0,0.0,1,2,2292.0,2009-10-01,2015,0,17,11,2
1.0,1.0,0,2,7600.0,2006-11-01,2024,0,20,2,1
2.0,1.0,1,2,6200.0,2005-05-01,2018,0,21,8,2
1.0,1.0,1,1,12900.0,2025-06-01,2025,0,1,1,1
1.0,0.0,1,2,18820.0,2008-09-01,2015,0,18,11,1
2.0,0.0,1,2,16167.0,2026-06-01,2024,0,0,2,2
1.0,1.0,1,2,4200.0,2007-02-01,2025,0,19,1,1
1.0,0.0,1,2,18861.0,2006-06-01,2025,0,20,1,1
2.0,0.0,0,1,27231.0,2011-02-01,2025,0,15,1,2
2.0,0.0,1,1,24390.0,2020-02-01,2020,0,6,6,2
1.0,0.0,1,1,3106.0,2020-02-01,2020,0,6,6,1
1.0,0.0,1,2,13595.0,2006-03-01,2010,0,20,16,1
1.0,1.0,1,2,12300.0,2005-08-01,2024,0,21,2,1
1.0,0.0,1,1,20743.0,2016-06-01,2016,0,10,10,1
1.0,0.0,1,2,17706.0,2003-06-01,2010,0,23,16,1
1.0,0.0,1,2,20962.0,2009-05-01,2024,0,17,2,1
2.0,0.0,0,1,30160.0,2003-06-01,2017,0,23,9,2
2.0,0.0,0,1,28937.0,2026-02-01,2022,0,0,4,2
1.0,1.0,0,2,22.0,2005-03-01,2025,0,21,1,1
1.0,0.0,1,2,7562.0,2002-10-01,2025,0,24,1,1
1.0,0.0,1,2,17211.0,2025-08-01,2013,0,1,13,1
2.0,1.0,0,2,9500.0,2008-05-01,2010,0,18,16,2
1.0,0.0,1,2,24191.0,2011-06-01,2025,0,15,1,1
1.0,1.0,1,2,68.0,2005-07-01,2006,0,21,20,1
1.0,0.0,1,2,8037.0,2007-05-01,2010,0,19,16,1
1.0,1.0,1,2,97.0,2009-02-01,2015,0,17,11,1
1.0,0.0,1,1,18242.0,2016-04-01,2016,0,10,10,1
2.0,1.0,1,2,62.0,2020-02-01,2020,0,6,6,2
1.0,1.0,1,1,46.0,2020-02-01,2020,0,6,6,1
1.0,0.0,1,2,20195.0,2012-02-01,2026,0,14,0,1
1.0,0.0,1,2,39818.0,2019-06-01,2019,0,7,7,1
2.0,0.0,1,2,33736.0,2010-05-01,2010,0,16,16,2
1.0,0.0,1,2,17850.0,2008-08-01,2022,0,18,4,1
2.0,0.0,0,2,1981.0,2010-05-01,2014,0,16,12,2
1.0,0.0,1,1,15695.0,2009-08-01,2010,0,17,16,1
1.0,0.0,1,2,23475.0,2008-03-01,2025,0,18,1,1
1.0,1.0,1,1,12900.0,2001-11-01,2025,0,25,1,1
1.0,1.0,1,1,91.0,2011-04-01,2025,0,15,1,1
1.0,0.0,1,2,42116.0,2010-09-01,2025,0,16,1,1
2.0,0.0,0,2,21370.0,2005-06-01,2010,0,21,16,2
1.0,1.0,1,2,16200.0,2007-12-01,2025,0,19,1,1
2.0,1.0,1,2,10700.0,2009-09-01,2025,0,17,1,2
1.0,1.0,1,1,89.0,2010-04-01,2010,0,16,16,1
1.0,0.0,1,3,11398.0,2006-08-01,2013,0,20,13,1
1.0,1.0,1,2,8200.0,2008-12-01,2010,0,18,16,1
1.0,1.0,1,1,6100.0,2008-08-01,2022,0,18,4,1
1.0,0.0,1,1,15820.0,2011-06-01,2025,0,15,1,1
1.0,0.0,1,2,9774.0,2020-02-01,2020,0,6,6,1
2.0,0.0,1,1,22833.0,2013-05-01,2013,0,13,13,2
2.0,0.0,1,2,34888.0,2019-04-01,2019,0,7,7,2
1.0,0.0,1,1,22297.0,2017-05-01,2017,0,9,9,1
1.0,0.0,1,2,30323.0,2020-02-01,2020,0,6,6,1
1.0,0.0,1,1,18162.0,2018-07-01,2018,0,8,8,1
1.0,1.0,1,1,8700.0,2020-02-01,2020,0,6,6,1
2.0,0.0,0,1,17620.0,2019-11-01,2019,0,7,7,2
2.0,0.0,1,2,17853.0,2008-11-01,2025,0,18,1,2
1.0,0.0,1,1,10794.0,2018-04-01,2018,0,8,8,1
1.0,0.0,1,1,15832.0,2010-11-01,2025,0,16,1,1
1.0,1.0,1,1,26.0,2006-07-01,2019,0,20,7,1
1.0,1.0,1,2,16300.0,2007-11-01,2024,0,19,2,1
1.0,0.0,1,1,33103.0,2013-06-01,2013,0,13,13,1
1.0,0.0,1,1,20847.0,2008-08-01,2010,0,18,16,1
1.0,0.0,1,1,31807.0,2013-10-01,2013,0,13,13,1
2.0,1.0,1,1,16100.0,2002-02-01,2014,0,24,12,2
1.0,0.0,1,1,28894.0,2002-05-01,2025,0,24,1,1
1.0,0.0,1,2,15409.0,2009-04-01,2010,0,17,16,1
1.0,1.0,1,1,5300.0,2003-10-01,2026,0,23,0,1
1.0,0.0,1,1,13469.0,2006-05-01,2024,0,20,2,1
1.0,0.0,1,1,16407.0,2020-02-01,2020,0,6,6,1
1.0,1.0,1,2,61.0,2008-06-01,2015,0,18,11,1
1.0,0.0,1,2,40628.0,2009-10-01,2014,0,17,12,1
1.0,0.0,1,2,24980.0,2008-04-01,2014,0,18,12,1
1.0,0.0,1,1,10290.0,2020-02-01,2020,0,6,6,1
1.0,1.0,1,1,84.0,2018-10-01,2018,0,8,8,1
2.0,0.0,1,1,13725.0,2007-03-01,2014,0,19,12,2
2.0,0.0,1,2,8278.0,2008-09-01,2010,0,18,16,2
2.0,0.0,1,2,13514.0,2009-06-01,2018,0,17,8,2
1.0,1.0,1,1,3800.0,2011-04-01,2025,0,15,1,1
1.0,0.0,1,2,15119.0,2005-04-01,2025,0,21,1,1
2.0,1.0,1,2,81.0,2010-06-01,2010,0,16,16,2
1.0,0.0,1,2,1543.0,2003-06-01,2024,0,23,2,1
2.0,1.0,1,1,13200.0,2020-02-01,2020,0,6,6,2
1.0,1.0,1,2,6400.0,2007-11-01,2025,0,19,1,1
2.0,1.0,1,1,3500.0,2000-05-01,2007,0,26,19,2
2.0,0.0,1,1,12606.0,2018-12-01,2018,0,8,8,2
2.0,1.0,1,2,96.0,2007-08-01,2024,0,19,2,2
1.0,0.0,1,1,18964.0,2003-02-01,2024,0,23,2,1
1.0,0.0,1,2,3711.0,2007-04-01,2013,0,19,13,1
1.0,0.0,0,1,35279.0,2015-02-01,2015,0,11,11,1
2.0,1.0,1,2,13800.0,2008-11-01,2015,0,18,11,2
2.0,1.0,1,1,19400.0,2007-11-01,2010,0,19,16,2
1.0,0.0,1,1,51012.0,2014-02-01,2014,0,12,12,1
2.0,1.0,1,1,7600.0,2006-05-01,2024,0,20,2,2
1.0,0.0,1,2,8052.0,2005-03-01,2026,0,21,0,1
1.0,1.0,1,1,8600.0,2005-03-01,2007,0,21,19,1
1.0,0.0,1,2,20128.0,2019-10-01,2019,0,7,7,1
1.0,1.0,1,2,91.0,2011-11-01,2026,0,15,0,1
1.0,1.0,1,1,93.0,2010-05-01,2010,0,16,16,1
2.0,1.0,1,2,9800.0,2013-03-01,2013,0,13,13,2
2.0,1.0,1,2,6700.0,2010-06-01,2025,0,16,1,2
1.0,0.0,1,1,22639.0,2008-05-01,2010,0,18,16,1
1.0,1.0,1,1,1100.0,2015-07-01,2015,0,11,11,0
1.0,1.0,1,1,86.0,2013-04-01,2013,0,13,13,1
2.0,0.0,1,2,2330.0,2010-04-01,2025,0,16,1,2
2.0,1.0,1,2,5900.0,2020-02-01,2020,0,6,6,2
2.0,0.0,1,2,47372.0,2007-12-01,2022,0,19,4,2
2.0,0.0,0,2,28127.0,2010-05-01,2010,0,16,16,2
1.0,1.0,1,1,28.0,2006-09-01,2006,0,20,20,1
2.0,0.0,1,2,62081.0,2020-02-01,2020,0,6,6,2
2.0,1.0,1,1,6700.0,2009-07-01,2024,0,17,2,2
2.0,1.0,1,1,6700.0,2006-03-01,2026,0,20,0,2
1.0,1.0,0,1,58.0,2020-02-01,2020,0,6,6,1
2.0,1.0,1,2,19400.0,2006-07-01,2022,0,20,4,2
2.0,0.0,1,2,4052.0,2010-12-01,2013,0,16,13,2
2.0,1.0,1,2,9300.0,2026-04-01,2010,0,0,16,2
2.0,1.0,1,1,9600.0,2020-02-01,2020,0,6,6,2
1.0,0.0,1,2,146.0,2020-02-01,2020,0,6,6,1
1.0,0.0,0,1,12091.0,2009-05-01,2024,0,17,2,1
1.0,0.0,1,2,11157.0,2006-09-01,2025,0,20,1,1
1.0,0.0,1,1,7612.0,2010-08-01,2025,0,16,1,1
2.0,0.0,1,2,27706.0,2008-12-01,2022,0,18,4,2
1.0,1.0,0,2,45.0,2008-03-01,2024,0,18,2,1
1.0,1.0,1,1,17400.0,2012-09-01,2026,0,14,0,1
1.0,0.0,1,1,26231.0,2008-12-01,2022,0,18,4,1
2.0,1.0,1,2,18300.0,2007-06-01,2010,0,19,16,2
2.0,1.0,1,2,13900.0,2001-07-01,2014,0,25,12,2
1.0,1.0,1,2,17200.0,2025-06-01,2013,0,1,13,1
2.0,0.0,1,2,14217.0,2006-10-01,2026,0,20,0,2
1.0,0.0,1,2,39533.0,2007-04-01,2016,0,19,10,1
1.0,0.0,1,2,3141.0,2008-08-01,2013,0,18,13,1
1.0,0.0,0,1,38342.0,2010-09-01,2010,0,16,16,1
2.0,0.0,0,1,16486.0,2020-02-01,2020,0,6,6,2
2.0,1.0,1,2,8900.0,2020-02-01,2020,0,6,6,2
1.0,1.0,1,1,9900.0,2020-02-01,2020,0,6,6,1
2.0,1.0,1,2,7900.0,2020-02-01,2020,0,6,6,2
1.0,0.0,1,1,17336.0,2014-12-01,2014,0,12,12,1
2.0,0.0,1,2,20206.0,2011-07-01,2025,0,15,1,2
1.0,0.0,1,1,17335.0,2010-11-01,2010,0,16,16,1
2.0,0.0,0,2,25048.0,2026-12-01,2010,0,0,16,2
2.0,0.0,1,1,25214.0,2014-03-01,2014,0,12,12,2
1.0,0.0,1,1,33580.0,2020-02-01,2020,0,6,6,1
2.0,0.0,0,2,1952.0,2011-03-01,2025,0,15,1,2
1.0,0.0,1,1,18491.0,2009-07-01,2025,0,17,1,1
2.0,1.0,1,1,9800.0,2010-08-01,2014,0,16,12,2
2.0,0.0,1,2,10366.0,2007-10-01,2014,0,19,12,2
2.0,0.0,1,1,10161.0,2026-04-01,2022,0,0,4,2
2.0,0.0,1,1,12434.0,2003-07-01,2026,0,23,0,2
1.0,0.0,1,2,29973.0,2010-11-01,2010,0,16,16,1
2.0,0.0,1,2,25330.0,2015-09-01,2015,0,11,11,2
2.0,0.0,1,2,52609.0,2006-04-01,2010,0,20,16,2
2.0,1.0,1,1,25200.0,2006-12-01,2016,0,20,10,2
2.0,0.0,1,1,11832.0,1996-12-01,2007,0,30,19,2
2.0,1.0,1,1,5400.0,2008-04-01,2013,0,18,13,2
1.0,0.0,0,1,3384.0,2009-06-01,2024,0,17,2,1
1.0,0.0,1,1,13756.0,2012-06-01,2026,0,14,0,1
1.0,0.0,1,1,16899.0,2014-04-01,2014,0,12,12,1
2.0,1.0,1,1,5700.0,2026-06-01,2026,0,0,0,2
1.0,1.0,1,1,46.0,2007-03-01,2026,0,19,0,1
1.0,1.0,1,2,11400.0,2020-02-01,2020,0,6,6,1
1.0,1.0,1,1,95.0,2011-11-01,2025,0,15,1,1
1.0,1.0,1,2,10700.0,2007-02-01,2015,0,19,11,1
2.0,0.0,1,2,12150.0,2026-06-01,2022,0,0,4,2
1.0,1.0,1,1,7800.0,2017-06-01,2017,0,9,9,0
2.0,0.0,0,1,13761.0,2013-02-01,2013,0,13,13,2
2.0,0.0,1,2,45377.0,2010-07-01,2025,0,16,1,2
1.0,1.0,1,1,15900.0,2020-02-01,2020,0,6,6,1
2.0,1.0,1,2,7000.0,2010-11-01,2025,0,16,1,2
1.0,0.0,1,2,16476.0,2005-05-01,2022,0,21,4,1
2.0,1.0,0,2,7200.0,2006-12-01,2025,0,20,1,2
1.0,1.0,1,1,11800.0,2010-12-01,2025,0,16,1,1
1.0,0.0,1,2,6832.0,2010-08-01,2015,0,16,11,1
1.0,0.0,1,2,6222.0,2009-09-01,2024,0,17,2,1
2.0,0.0,1,2,33539.0,2005-06-01,2018,0,21,8,2
2.0,1.0,1,2,14000.0,2020-02-01,2020,0,6,6,2
2.0,0.0,1,2,24677.0,2020-02-01,2020,0,6,6,2
2.0,0.0,1,2,6708.0,2005-10-01,2013,0,21,13,2
2.0,0.0,1,1,10903.0,2011-08-01,2025,0,15,1,2
1.0,0.0,1,1,6710.0,2013-02-01,2013,0,13,13,1
1.0,0.0,1,2,10841.0,2017-11-01,2017,0,9,9,1
1.0,0.0,1,2,29340.0,2008-05-01,2010,0,18,16,1
1.0,1.0,1,2,7700.0,2010-05-01,2010,0,16,16,1
1.0,0.0,1,1,18803.0,2026-11-01,2022,0,0,4,1
1.0,0.0,1,2,28405.0,1998-06-01,2022,0,28,4,1
1.0,0.0,1,1,15521.0,2011-02-01,2025,0,15,1,1
2.0,1.0,1,2,10900.0,2010-06-01,2013,0,16,13,2
1.0,1.0,1,2,13900.0,2014-08-01,2014,0,12,12,0
2.0,0.0,1,1,24123.0,2013-08-01,2013,0,13,13,2
2.0,1.0,1,2,12.0,2006-12-01,2013,0,20,13,2
2.0,0.0,1,1,11737.0,2026-09-01,2024,0,0,2,2
2.0,0.0,1,1,14366.0,1997-03-01,2022,0,29,4,2
1.0,0.0,1,2,13605.0,2002-07-01,2024,0,24,2,1
2.0,1.0,1,1,21000.0,2005-07-01,2024,0,21,2,2
1.0,0.0,1,2,21470.0,2020-02-01,2020,0,6,6,1
2.0,0.0,1,1,26850.0,2017-09-01,2017,0,9,9,2
2.0,1.0,1,2,10400.0,2009-02-01,2010,0,17,16,2
2.0,1.0,1,2,8000.0,2007-10-01,2025,0,19,1,2
2.0,1.0,1,2,13000.0,2000-04-01,2010,0,26,16,2
1.0,0.0,1,1,5840.0,2006-07-01,2024,0,20,2,1
1.0,1.0,1,2,68.0,2008-03-01,2026,0,18,0,1
2.0,0.0,0,1,32223.0,2002-06-01,2021,0,24,5,2
1.0,0.0,1,2,13323.0,2010-10-01,2010,0,16,16,1
2.0,0.0,1,2,576.0,2001-08-01,2025,0,25,1,2
2.0,0.0,1,1,25977.0,2007-04-01,2024,0,19,2,2
2.0,1.0,1,1,84.0,2014-08-01,2014,0,12,12,2
1.0,1.0,1,2,23.0,2006-09-01,2010,0,20,16,1
2.0,1.0,0,2,5200.0,2025-11-01,2024,0,1,2,2
1.0,1.0,1,2,66.0,2006-06-01,2010,0,20,16,1
